sample_name	species	likely_resistant	fq_resistance_mutations	qrdr_mutations	genes_affected
N05_2_4	Pseudomonas_aeruginosa	True	17	239	gyrA,gyrB,parC,parE
N05_2_4	Staphylococcus_aureus	True	7	1833	gyrA,gyrB,parC,parE
N05_2_4	Streptococcus_mitis	False	0	150	gyrA,gyrB,parC,parE
N05_2_4	Streptococcus_oralis	False	0	228	gyrA,gyrB,parC,parE
N05_2_4	Streptococcus_pneumoniae	False	0	173	gyrA,gyrB,parC,parE
N06_1_2	Enterococcus_faecalis	False	0	19	gyrA,gyrB,parC,parE
N06_1_2	Enterococcus_faecium	False	0	13	gyrA,gyrB,parC,parE
N06_1_2	Escherichia_coli	False	0	6	gyrA,gyrB,parC,parE
N06_1_2	Klebsiella_oxytoca	False	0	0	gyrA,gyrB,parC,parE
N06_1_2	Klebsiella_pneumoniae	False	0	2	gyrA,gyrB,parE
N06_1_2	Pseudomonas_aeruginosa	False	0	11	gyrA,gyrB,parC,parE
N06_1_2	Staphylococcus_aureus	True	168	2233	gyrA,gyrB,parC,parE
N06_1_2	Streptococcus_mitis	True	5	15	gyrA,gyrB,parC,parE
N06_1_2	Streptococcus_oralis	True	5	32	gyrA,gyrB,parC,parE
N06_1_2	Streptococcus_pneumoniae	False	0	32	gyrA,gyrB,parC,parE
N06_1_3	Enterococcus_faecalis	False	0	12	gyrA,gyrB,parC,parE
N06_1_3	Enterococcus_faecium	False	0	9	gyrA,gyrB,parC,parE
N06_1_3	Escherichia_coli	True	4	54	gyrA,gyrB,parC,parE
N06_1_3	Klebsiella_oxytoca	False	0	19	gyrA,gyrB,parC,parE
N06_1_3	Klebsiella_pneumoniae	True	5	29	gyrA,gyrB,parE
N06_1_3	Pseudomonas_aeruginosa	False	0	3	gyrA,gyrB,parC,parE
N06_1_3	Staphylococcus_aureus	True	7	60	gyrA,gyrB,parC,parE
N06_1_3	Streptococcus_mitis	False	0	0	gyrA,parC,parE
N06_1_3	Streptococcus_oralis	False	0	0	gyrA,gyrB,parC,parE
N06_1_3	Streptococcus_pneumoniae	False	0	0	gyrB,parC,parE
N06_1_4	Enterococcus_faecalis	False	0	267	gyrA,gyrB,parC,parE
N06_1_4	Enterococcus_faecium	False	0	202	gyrA,gyrB,parC,parE
N06_1_4	Escherichia_coli	False	0	554	gyrA,gyrB,parC,parE
N06_1_4	Klebsiella_oxytoca	False	0	88	gyrA,gyrB,parC,parE
N06_1_4	Klebsiella_pneumoniae	True	1	164	gyrA,gyrB,parE
N06_1_4	Pseudomonas_aeruginosa	True	5	210	gyrA,gyrB,parC,parE
N06_1_4	Staphylococcus_aureus	True	51	790	gyrA,gyrB,parC,parE
N06_1_4	Streptococcus_mitis	False	0	90	gyrA,gyrB,parC,parE
N06_1_4	Streptococcus_oralis	False	0	99	gyrA,gyrB,parC,parE
N06_1_4	Streptococcus_pneumoniae	False	0	99	gyrA,gyrB,parC,parE
N07_1_2	Enterococcus_faecalis	False	0	59	gyrA,gyrB,parC,parE
