sample_name	total_genes	amr_genes	stress_genes	unique_amr_genes	unique_stress_genes	total_amr_reads	total_stress_reads	total_amr_rpm	total_stress_rpm	high_conf_amr	num_drug_classes	soxS_rpm	recA_rpm
ZJH_N19_1_3	84	84	0	84	0	5361	0	219.910413	0.0	8	14	0.0	0.0
ZJH_N19_1_4	122	122	0	122	0	49893	0	537.2895687199999	0.0	24	18	0.0	0.0
ZJH_N19_2_2	89	89	0	89	0	6180	0	208.24834774	0.0	18	17	0.0	0.0
ZJH_N19_2_4	120	120	0	120	0	660251	0	9054.155291800002	0.0	22	18	0.0	0.0
ZJH_N20_1_3	90	90	0	90	0	5464	0	231.57890400000002	0.0	29	15	0.0	0.0
ZJH_N20_1_4	90	90	0	90	0	55187	0	577.2548013100001	0.0	3	12	0.0	0.0
ZJH_N20_2_2	142	141	1	141	1	17256	2	435.27784797999993	0.0354721	64	22	0.0354721	0.0
ZJH_N20_2_3	102	102	0	102	0	6086	0	220.98571989999996	0.0	30	16	0.0	0.0
ZJH_N20_2_4	149	147	2	147	2	250762	7	2364.90644525	0.0933543	84	23	0.025713	0.0676413
ZJH_N21_1_2	155	155	0	155	0	25822	0	875.8741645	0.0	97	25	0.0	0.0
ZJH_N21_1_4	148	148	0	148	0	46204	0	672.38925546	0.0	47	18	0.0	0.0
ZJH_N21_2_2	148	148	0	148	0	22413	0	712.9353229	0.0	86	20	0.0	0.0
ZJH_N21_2_4	143	143	0	143	0	466710	0	3279.53005705	0.0	89	20	0.0	0.0
ZJH_N22_1_3	130	130	0	130	0	263804	0	3097.30546999	0.0	81	17	0.0	0.0
ZJH_N22_1_4	136	135	1	135	1	437698	2	2868.2482187799997	0.010362	92	17	0.0	0.0
ZJH_N22_2_2	117	115	2	115	2	52647	2	792.98199539	0.01919642	50	20	0.0114112	0.0
ZJH_N22_2_3	124	124	0	124	0	31095	0	794.3480347999999	0.0	62	18	0.0	0.0
ZJH_N22_2_4	96	96	0	96	0	42489	0	561.54737735	0.0	12	13	0.0	0.0
ZJH_N23_1_2	90	90	0	90	0	12149	0	446.2699862	0.0	26	17	0.0	0.0
ZJH_N23_1_3	106	106	0	106	0	4781	0	181.97924982999996	0.0	32	16	0.0	0.0
ZJH_N23_1_4	160	160	0	160	0	1386013	0	24179.273357799997	0.0	72	23	0.0	0.0
ZJH_N23_2_2	117	117	0	117	0	15014	0	747.9637650400002	0.0	68	18	0.0	0.0
ZJH_N23_2_3	124	124	0	124	0	724215	0	8617.40591649	0.0	85	16	0.0	0.0
ZJH_N23_2_4	125	125	0	125	0	426273	0	3166.44578425	0.0	76	18	0.0	0.0
ZJH_N24_1_2	96	96	0	96	0	15026	0	294.38864423	0.0	32	18	0.0	0.0
ZJH_N24_1_3	102	102	0	102	0	8150	0	199.45898288999996	0.0	25	14	0.0	0.0
ZJH_N24_1_4	126	126	0	126	0	859882	0	11872.32909672	0.0	39	19	0.0	0.0
ZJH_N24_2_2	136	136	0	136	0	17762	0	494.40796915	0.0	75	19	0.0	0.0
ZJH_N24_2_3	134	134	0	134	0	55823	0	1745.5250974	0.0	77	18	0.0	0.0
ZJH_N24_2_4	119	119	0	119	0	556695	0	7083.659164770001	0.0	72	15	0.0	0.0
ZJH_N25_1_2	92	92	0	92	0	17675	0	326.58074016999996	0.0	25	17	0.0	0.0
ZJH_N25_1_3	51	51	0	51	0	6043	0	213.09686670000005	0.0	0	10	0.0	0.0
ZJH_N25_1_4	97	97	0	97	0	559506	0	9537.306809859998	0.0	21	18	0.0	0.0
ZJH_N25_2_2	104	104	0	104	0	37077	0	728.0409639499999	0.0	46	18	0.0	0.0
ZJH_N25_2_4	126	126	0	126	0	85846	0	902.11909053	0.0	66	16	0.0	0.0
ZJH_N26_1_2	104	103	1	103	1	6875	1	198.56022804	0.0351464	31	17	0.0	0.0351464
ZJH_N26_1_4	85	85	0	85	0	36387	0	461.35769683999996	0.0	4	12	0.0	0.0
ZJH_N26_2_2	94	93	1	93	1	13672	1	287.38873302999997	0.019308	28	16	0.0	0.0
ZJH_N26_2_4	111	111	0	111	0	40956	0	513.62582129	0.0	37	16	0.0	0.0
ZJH_N27_1_4	113	113	0	113	0	57096	0	533.78386741	0.0	9	17	0.0	0.0
ZJH_N27_2_2	150	150	0	150	0	18190	0	514.64619832	0.0	82	19	0.0	0.0
ZJH_N27_2_3	156	156	0	156	0	81578	0	1251.7293075900002	0.0	91	18	0.0	0.0
ZJH_N27_2_4	173	173	0	173	0	357578	0	2763.46784967	0.0	103	20	0.0	0.0
ZJH_N28_1_2	75	75	0	75	0	6758	0	257.35448452	0.0	15	14	0.0	0.0
ZJH_N28_1_4	79	79	0	79	0	669770	0	7801.19743968	0.0	2	15	0.0	0.0
ZJH_N28_2_2	75	75	0	75	0	23689	0	572.82545924	0.0	24	17	0.0	0.0
ZJH_N28_2_3	77	77	0	77	0	7932	0	238.26851509999997	0.0	21	12	0.0	0.0
ZJH_N28_2_4	118	117	1	117	1	490523	13	6513.210100359999	0.104619	48	19	0.104619	0.0
ZJH_N29_1_2	89	88	1	88	1	10309	2	259.30381762999997	0.0304103	29	13	0.0304103	0.0
ZJH_N29_1_4	89	89	0	89	0	2231903	0	30087.064148540005	0.0	15	14	0.0	0.0
ZJH_N30_1_3	128	128	0	128	0	8112	0	345.80818751000004	0.0	66	19	0.0	0.0
