hdf5_output	total_alignments	total_translated_alignments	total_reads_processed	sample_name
/fastpool/analysis/nicu_amr_stress/resistance/ZJH_N12_1_3/ZJH_N12_1_3.h5	52	5289920	0	ZJH_N12_1_3
/fastpool/analysis/nicu_amr_stress/resistance/ZJH_N12_1_4/ZJH_N12_1_4.h5	3666	25400000	0	ZJH_N12_1_4
/fastpool/analysis/nicu_amr_stress/resistance/ZJH_N12_2_2/ZJH_N12_2_2.h5	51	11260000	0	ZJH_N12_2_2
/fastpool/analysis/nicu_amr_stress/resistance/ZJH_N12_2_4/ZJH_N12_2_4.h5	8154	27287530	0	ZJH_N12_2_4
/fastpool/analysis/nicu_amr_stress/resistance/ZJH_N13_1_2/ZJH_N13_1_2.h5	0	5393181	0	ZJH_N13_1_2
/fastpool/analysis/nicu_amr_stress/resistance/ZJH_N13_1_3/ZJH_N13_1_3.h5	0	920000	0	ZJH_N13_1_3
/fastpool/analysis/nicu_amr_stress/resistance/ZJH_N13_1_4/ZJH_N13_1_4.h5	14	1820000	0	ZJH_N13_1_4
/fastpool/analysis/nicu_amr_stress/resistance/ZJH_N13_2_2/ZJH_N13_2_2.h5	130	9930000	0	ZJH_N13_2_2
/fastpool/analysis/nicu_amr_stress/resistance/ZJH_N13_2_3/ZJH_N13_2_3.h5	0	2340000	0	ZJH_N13_2_3
/fastpool/analysis/nicu_amr_stress/resistance/ZJH_N13_2_4/ZJH_N13_2_4.h5	1638	29850000	0	ZJH_N13_2_4
/fastpool/analysis/nicu_amr_stress/resistance/ZJH_N14_1_2/ZJH_N14_1_2.h5	0	2470000	0	ZJH_N14_1_2
/fastpool/analysis/nicu_amr_stress/resistance/ZJH_N14_1_3/ZJH_N14_1_3.h5	0	550000	0	ZJH_N14_1_3
/fastpool/analysis/nicu_amr_stress/resistance/ZJH_N14_1_4/ZJH_N14_1_4.h5	20	22868082	0	ZJH_N14_1_4
/fastpool/analysis/nicu_amr_stress/resistance/ZJH_N14_2_2/ZJH_N14_2_2.h5	553	9114712	0	ZJH_N14_2_2
/fastpool/analysis/nicu_amr_stress/resistance/ZJH_N14_2_3/ZJH_N14_2_3.h5	318	11064731	0	ZJH_N14_2_3
/fastpool/analysis/nicu_amr_stress/resistance/ZJH_N14_2_4/ZJH_N14_2_4.h5	5623	22739281	0	ZJH_N14_2_4
/fastpool/analysis/nicu_amr_stress/resistance/ZJH_N15_1_2/ZJH_N15_1_2.h5	0	3600000	0	ZJH_N15_1_2
/fastpool/analysis/nicu_amr_stress/resistance/ZJH_N15_1_4/ZJH_N15_1_4.h5	36325	22623533	0	ZJH_N15_1_4
/fastpool/analysis/nicu_amr_stress/resistance/ZJH_N16_1_2/ZJH_N16_1_2.h5	3	7388346	0	ZJH_N16_1_2
/fastpool/analysis/nicu_amr_stress/resistance/ZJH_N16_1_3/ZJH_N16_1_3.h5	0	4794310	0	ZJH_N16_1_3
/fastpool/analysis/nicu_amr_stress/resistance/ZJH_N16_2_2/ZJH_N16_2_2.h5	52	7332262	0	ZJH_N16_2_2
/fastpool/analysis/nicu_amr_stress/resistance/ZJH_N16_2_3/ZJH_N16_2_3.h5	2	8790000	0	ZJH_N16_2_3
/fastpool/analysis/nicu_amr_stress/resistance/ZJH_N16_2_4/ZJH_N16_2_4.h5	654	23350251	0	ZJH_N16_2_4
/fastpool/analysis/nicu_amr_stress/resistance/ZJH_N17_1_2/ZJH_N17_1_2.h5	0	22636188	0	ZJH_N17_1_2
/fastpool/analysis/nicu_amr_stress/resistance/ZJH_N17_1_3/ZJH_N17_1_3.h5	0	1237558	0	ZJH_N17_1_3
/fastpool/analysis/nicu_amr_stress/resistance/ZJH_N17_1_4/ZJH_N17_1_4.h5	79968	19812991	0	ZJH_N17_1_4
/fastpool/analysis/nicu_amr_stress/resistance/ZJH_N17_2_2/ZJH_N17_2_2.h5	0	8175456	0	ZJH_N17_2_2
/fastpool/analysis/nicu_amr_stress/resistance/ZJH_N17_2_3/ZJH_N17_2_3.h5	40	13030000	0	ZJH_N17_2_3
/fastpool/analysis/nicu_amr_stress/resistance/ZJH_N17_2_4/ZJH_N17_2_4.h5	62	25054080	0	ZJH_N17_2_4
/fastpool/analysis/nicu_amr_stress/resistance/ZJH_N18_1_2/ZJH_N18_1_2.h5	0	10740000	0	ZJH_N18_1_2
/fastpool/analysis/nicu_amr_stress/resistance/ZJH_N18_1_3/ZJH_N18_1_3.h5	0	4678067	0	ZJH_N18_1_3
/fastpool/analysis/nicu_amr_stress/resistance/ZJH_N18_1_4/ZJH_N18_1_4.h5	170	22040743	0	ZJH_N18_1_4
/fastpool/analysis/nicu_amr_stress/resistance/ZJH_N18_2_2/ZJH_N18_2_2.h5	20	6160000	0	ZJH_N18_2_2
/fastpool/analysis/nicu_amr_stress/resistance/ZJH_N18_2_3/ZJH_N18_2_3.h5	7009	15149468	0	ZJH_N18_2_3
/fastpool/analysis/nicu_amr_stress/resistance/ZJH_N18_2_4/ZJH_N18_2_4.h5	25586	22649213	0	ZJH_N18_2_4
/fastpool/analysis/nicu_amr_stress/resistance/ZJH_N19_1_2/ZJH_N19_1_2.h5	0	10631478	0	ZJH_N19_1_2
/fastpool/analysis/nicu_amr_stress/resistance/ZJH_N19_1_3/ZJH_N19_1_3.h5	0	440000	0	ZJH_N19_1_3
/fastpool/analysis/nicu_amr_stress/resistance/ZJH_N19_1_4/ZJH_N19_1_4.h5	0	1790000	0	ZJH_N19_1_4
/fastpool/analysis/nicu_amr_stress/resistance/ZJH_N19_2_2/ZJH_N19_2_2.h5	0	3334576	0	ZJH_N19_2_2
/fastpool/analysis/nicu_amr_stress/resistance/ZJH_N19_2_4/ZJH_N19_2_4.h5	0	1680000	0	ZJH_N19_2_4
/fastpool/analysis/nicu_amr_stress/resistance/ZJH_N20_1_3/ZJH_N20_1_3.h5	0	760000	0	ZJH_N20_1_3
/fastpool/analysis/nicu_amr_stress/resistance/ZJH_N20_1_4/ZJH_N20_1_4.h5	0	1600000	0	ZJH_N20_1_4
/fastpool/analysis/nicu_amr_stress/resistance/ZJH_N20_2_2/ZJH_N20_2_2.h5	0	9255307	0	ZJH_N20_2_2
/fastpool/analysis/nicu_amr_stress/resistance/ZJH_N20_2_3/ZJH_N20_2_3.h5	0	1410000	0	ZJH_N20_2_3
/fastpool/analysis/nicu_amr_stress/resistance/ZJH_N20_2_4/ZJH_N20_2_4.h5	1839	19731556	0	ZJH_N20_2_4
/fastpool/analysis/nicu_amr_stress/resistance/ZJH_N21_1_2/ZJH_N21_1_2.h5	137	6528173	0	ZJH_N21_1_2
/fastpool/analysis/nicu_amr_stress/resistance/ZJH_N21_1_4/ZJH_N21_1_4.h5	802	8780000	0	ZJH_N21_1_4
/fastpool/analysis/nicu_amr_stress/resistance/ZJH_N21_2_2/ZJH_N21_2_2.h5	3	6784703	0	ZJH_N21_2_2
/fastpool/analysis/nicu_amr_stress/resistance/ZJH_N21_2_4/ZJH_N21_2_4.h5	3001	27021247	0	ZJH_N21_2_4
/fastpool/analysis/nicu_amr_stress/resistance/ZJH_N22_1_3/ZJH_N22_1_3.h5	2237	15056793	0	ZJH_N22_1_3
/fastpool/analysis/nicu_amr_stress/resistance/ZJH_N22_1_4/ZJH_N22_1_4.h5	271	27743760	0	ZJH_N22_1_4
/fastpool/analysis/nicu_amr_stress/resistance/ZJH_N22_2_2/ZJH_N22_2_2.h5	0	14740000	0	ZJH_N22_2_2
/fastpool/analysis/nicu_amr_stress/resistance/ZJH_N22_2_3/ZJH_N22_2_3.h5	7643	8650000	0	ZJH_N22_2_3
/fastpool/analysis/nicu_amr_stress/resistance/ZJH_N22_2_4/ZJH_N22_2_4.h5	13570	16775999	0	ZJH_N22_2_4
/fastpool/analysis/nicu_amr_stress/resistance/ZJH_N23_1_2/ZJH_N23_1_2.h5	0	6792894	0	ZJH_N23_1_2
/fastpool/analysis/nicu_amr_stress/resistance/ZJH_N23_1_3/ZJH_N23_1_3.h5	0	1500000	0	ZJH_N23_1_3
/fastpool/analysis/nicu_amr_stress/resistance/ZJH_N23_1_4/ZJH_N23_1_4.h5	951	7181999	0	ZJH_N23_1_4
/fastpool/analysis/nicu_amr_stress/resistance/ZJH_N23_2_2/ZJH_N23_2_2.h5	0	4195263	0	ZJH_N23_2_2
/fastpool/analysis/nicu_amr_stress/resistance/ZJH_N23_2_3/ZJH_N23_2_3.h5	2148	19181639	0	ZJH_N23_2_3
/fastpool/analysis/nicu_amr_stress/resistance/ZJH_N23_2_4/ZJH_N23_2_4.h5	313	25630000	0	ZJH_N23_2_4
/fastpool/analysis/nicu_amr_stress/resistance/ZJH_N24_1_2/ZJH_N24_1_2.h5	0	7650000	0	ZJH_N24_1_2
/fastpool/analysis/nicu_amr_stress/resistance/ZJH_N24_1_3/ZJH_N24_1_3.h5	0	780000	0	ZJH_N24_1_3
/fastpool/analysis/nicu_amr_stress/resistance/ZJH_N24_1_4/ZJH_N24_1_4.h5	0	20726612	0	ZJH_N24_1_4
/fastpool/analysis/nicu_amr_stress/resistance/ZJH_N24_2_2/ZJH_N24_2_2.h5	9	6108326	0	ZJH_N24_2_2
