sample_name	resistance_type	rpm_sum	n_gene_families	SubjectID	Location	SampleType	SampleCollectionWeek
N13_2_4	intrinsic	1414.9229	14	N13	UCMC	Stool	Week.3
N13_2_4	acquired	5857.94075	34	N13	UCMC	Stool	Week.3
N13_2_4	unknown	827.375101	35	N13	UCMC	Stool	Week.3
N13_2_2	intrinsic	157.571865	14	N13	UCMC	Axilla	Week.3
N13_2_2	acquired	3049.807788	66	N13	UCMC	Axilla	Week.3
N13_2_2	unknown	127.931439	16	N13	UCMC	Axilla	Week.3
N14_1_2	intrinsic	0.967491	1	N14	UCMC	Axilla	Week.1
N14_1_2	acquired	5548.380328	30	N14	UCMC	Axilla	Week.1
N14_1_2	unknown	232.9639	10	N14	UCMC	Axilla	Week.1
N14_1_4	intrinsic	12.996556	4	N14	UCMC	Stool	Week.1
N14_1_4	acquired	359.029997	14	N14	UCMC	Stool	Week.1
N14_1_4	unknown	151.897143	9	N14	UCMC	Stool	Week.1
N14_2_2	intrinsic	0.0	0	N14	UCMC	Axilla	Week.3
N14_2_2	acquired	664.554034	21	N14	UCMC	Axilla	Week.3
N14_2_2	unknown	18.15224	7	N14	UCMC	Axilla	Week.3
N14_2_3	intrinsic	63.099169	15	N14	UCMC	Groin	Week.3
N14_2_3	acquired	408.52347	57	N14	UCMC	Groin	Week.3
N14_2_3	unknown	116.855083	49	N14	UCMC	Groin	Week.3
N14_2_4	intrinsic	89.742183	14	N14	UCMC	Stool	Week.3
N14_2_4	acquired	820.421967	59	N14	UCMC	Stool	Week.3
N14_2_4	unknown	212.666498	48	N14	UCMC	Stool	Week.3
N14_1_3	intrinsic	0.0	0	N14	UCMC	Groin	Week.1
N14_1_3	acquired	29.975087	5	N14	UCMC	Groin	Week.1
N14_1_3	unknown	0.269384	1	N14	UCMC	Groin	Week.1
N15_1_3	intrinsic	0.0	0	N15	UCMC	Groin	Week.1
N15_1_3	acquired	701.573348	38	N15	UCMC	Groin	Week.1
N15_1_3	unknown	2.235718	5	N15	UCMC	Groin	Week.1
N15_1_4	intrinsic	336.55821000000003	12	N15	UCMC	Stool	Week.1
N15_1_4	acquired	3908.809193	72	N15	UCMC	Stool	Week.1
N15_1_4	unknown	645.424743	44	N15	UCMC	Stool	Week.1
N15_2_2	intrinsic	1.17	1	N15	UCMC	Axilla	Week.3
N15_2_2	acquired	608.208562	17	N15	UCMC	Axilla	Week.3
N15_2_2	unknown	9.61296	2	N15	UCMC	Axilla	Week.3
N15_1_2	intrinsic	11.0365	2	N15	UCMC	Axilla	Week.1
N15_1_2	acquired	3369.55114	65	N15	UCMC	Axilla	Week.1
N15_1_2	unknown	107.929579	6	N15	UCMC	Axilla	Week.1
N15_2_4	intrinsic	1108.52877	16	N15	UCMC	Stool	Week.3
N15_2_4	acquired	6112.8085	43	N15	UCMC	Stool	Week.3
N15_2_4	unknown	3176.31171	33	N15	UCMC	Stool	Week.3
N15_2_3	intrinsic	988.51445	16	N15	UCMC	Groin	Week.3
N15_2_3	acquired	6167.020972	47	N15	UCMC	Groin	Week.3
N15_2_3	unknown	2231.88712	39	N15	UCMC	Groin	Week.3
N16_1_2	intrinsic	4.92231	2	N16	UCMC	Axilla	Week.1
N16_1_2	acquired	1621.404802	37	N16	UCMC	Axilla	Week.1
N16_1_2	unknown	45.707176	12	N16	UCMC	Axilla	Week.1
N16_1_3	intrinsic	36.043577	7	N16	UCMC	Groin	Week.1
N16_1_3	acquired	1866.095244	64	N16	UCMC	Groin	Week.1
N16_1_3	unknown	104.49942300000001	41	N16	UCMC	Groin	Week.1
N16_2_2	intrinsic	1.24769	1	N16	UCMC	Axilla	Week.3
N16_2_2	acquired	2163.970493	33	N16	UCMC	Axilla	Week.3
N16_2_2	unknown	10.96845	3	N16	UCMC	Axilla	Week.3
N16_2_3	intrinsic	742.0711799999999	17	N16	UCMC	Groin	Week.3
N16_2_3	acquired	5547.356671	85	N16	UCMC	Groin	Week.3
N16_2_3	unknown	1624.303362	63	N16	UCMC	Groin	Week.3
N16_2_4	intrinsic	924.32878	16	N16	UCMC	Stool	Week.3
N16_2_4	acquired	5374.658604	72	N16	UCMC	Stool	Week.3
N16_2_4	unknown	2404.221123	61	N16	UCMC	Stool	Week.3
N16_1_4	intrinsic	182.09546	11	N16	UCMC	Stool	Week.1
N16_1_4	acquired	2722.530206	89	N16	UCMC	Stool	Week.1
N16_1_4	unknown	385.43325	54	N16	UCMC	Stool	Week.1
N17_1_2	intrinsic	12.3471	1	N17	UCMC	Axilla	Week.1
N17_1_2	acquired	4184.953352	41	N17	UCMC	Axilla	Week.1
N17_1_2	unknown	103.158182	6	N17	UCMC	Axilla	Week.1
N17_1_3	intrinsic	502.09378	13	N17	UCMC	Groin	Week.1
N17_1_3	acquired	3962.636255	60	N17	UCMC	Groin	Week.1
N17_1_3	unknown	302.565361	16	N17	UCMC	Groin	Week.1
N17_2_2	intrinsic	4.42244	1	N17	UCMC	Axilla	Week.3
N17_2_2	acquired	1754.46498	24	N17	UCMC	Axilla	Week.3
N17_2_2	unknown	26.05094	2	N17	UCMC	Axilla	Week.3
N17_2_3	intrinsic	196.43231	13	N17	UCMC	Groin	Week.3
N17_2_3	acquired	3498.021923	89	N17	UCMC	Groin	Week.3
N17_2_3	unknown	465.61163700000003	43	N17	UCMC	Groin	Week.3
N17_2_4	intrinsic	467.63365999999996	10	N17	UCMC	Stool	Week.3
N17_2_4	acquired	1010.83948	20	N17	UCMC	Stool	Week.3
N17_2_4	unknown	789.2387	24	N17	UCMC	Stool	Week.3
N17_1_4	intrinsic	1371.9907	14	N17	UCMC	Stool	Week.1
N17_1_4	acquired	5700.100444	50	N17	UCMC	Stool	Week.1
N17_1_4	unknown	715.64876	13	N17	UCMC	Stool	Week.1
N18_1_3	intrinsic	0.959052	1	N18	UCMC	Groin	Week.1
N18_1_3	acquired	77.543998	13	N18	UCMC	Groin	Week.1
N18_1_3	unknown	6.43492	2	N18	UCMC	Groin	Week.1
N18_1_4	intrinsic	75.42869999999999	2	N18	UCMC	Stool	Week.1
N18_1_4	acquired	7611.945172	71	N18	UCMC	Stool	Week.1
N18_1_4	unknown	326.960193	23	N18	UCMC	Stool	Week.1
N18_2_2	intrinsic	9.43277	1	N18	UCMC	Axilla	Week.3
N18_2_2	acquired	5776.27989	36	N18	UCMC	Axilla	Week.3
N18_2_2	unknown	50.12185	3	N18	UCMC	Axilla	Week.3
N18_1_2	intrinsic	2.75944	1	N18	UCMC	Axilla	Week.1
N18_1_2	acquired	1307.190706	24	N18	UCMC	Axilla	Week.1
N18_1_2	unknown	30.112180000000002	2	N18	UCMC	Axilla	Week.1
N18_2_4	intrinsic	0.0	0	N18	UCMC	Stool	Week.3
N18_2_4	acquired	69.97402	5	N18	UCMC	Stool	Week.3
N18_2_4	unknown	207.78508	12	N18	UCMC	Stool	Week.3
N18_2_3	intrinsic	0.0	0	N18	UCMC	Groin	Week.3
N18_2_3	acquired	0.0	0	N18	UCMC	Groin	Week.3
N18_2_3	unknown	0.0	0	N18	UCMC	Groin	Week.3
