sample_name	ESBL	Carbapenemase	Methicillin (mecA)	Aminoglycoside	Fluoroquinolone	Macrolide (MLS)	Tetracycline	Sulfonamide	Trimethoprim	Colistin (mcr)	Vancomycin (VRE)
ZJH_N3_1_2	0.0	0.0	0.0	86.214553	0.0	175.820356	68.015636	0.0	0.0	0.0	0.0
ZJH_N3_1_3	0.0	0.0	0.0	373.443095	0.0	79.94071	371.90231	39.365638	0.0	0.0	0.0
ZJH_N3_2_2	0.0	0.0	0.0	599.7768	0.0	866.56708	196.07125	0.0	0.0	0.0	0.0
ZJH_N3_2_4	0.0	21.347656999999998	0.0	25.216202	1.17467	356.536314	151.469757	29.1631	0.0	486.5794	0.0
ZJH_N4_1_2	0.0	0.0	24.34571	1650.11069	0.0	1594.47896	344.370028	152.34953000000002	0.0	0.0	0.0
ZJH_N4_1_3	0.0	0.0	0.0	54.899851	0.0	119.34192999999999	9.121939999999999	20.26165	0.0	0.0	0.0
ZJH_N4_1_4	0.0	0.0	0.0	501.0495	0.0	171.61799000000002	4891.3955	0.0	39.87579	0.0	0.0
ZJH_N4_2_2	0.0	0.0	0.0	36.67926	0.0	149.8615	23.898699999999998	0.0	0.0	0.0	0.0
ZJH_N4_2_3	2070.61724	0.0	194.30849999999998	630.578443	94.681	1073.3265	324.86748	81.05985	0.9421	0.0	0.0
ZJH_N4_2_4	5651.109135	0.0	0.0	360.80055	237.3901	547.0776510000001	498.908144	85.30449999999999	0.7382299999999999	0.0	0.0
ZJH_N5_1_2	0.0	0.0	653.0912000000001	815.59916	0.0	5537.1212	217.11578	0.0	75.6191	0.0	0.0
ZJH_N5_1_4	35.076901	0.0	0.0	3.839556	3.1103400000000003	8.28927	7.798172	0.505988	0.0	0.0	0.0
ZJH_N5_2_2	0.0	0.0	0.0	1144.967129	0.0	1281.93303	268.804	11.772069	0.268657	0.0	0.0
ZJH_N5_2_3	4.347949	0.0	894.0213	704.212392	0.0	10785.34744	275.88767	50.467330000000004	21.11861	0.0	0.0
ZJH_N5_2_4	0.0	0.0	168.0558	1740.672996	0.0	1318.51422	7462.58954	18.291803	101.06796	0.0	0.0
ZJH_N6_1_2	0.0	0.0	20.894199999999998	15.48332	0.0	353.03582	4.70327	0.0	0.0	0.0	0.0
ZJH_N6_1_3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ZJH_N6_1_4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ZJH_N6_2_2	0.0	0.0	0.0	331.1858	0.0	2465.683208	60.664500000000004	0.0	0.0	0.0	0.0
ZJH_N6_2_3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ZJH_N6_2_4	0.0	0.0	447.4578	1760.20929	0.0	857.77511	5929.06301	1.49598	87.04609	0.0	0.0
ZJH_N7_1_2	0.0	0.0	86.00806	808.6709500000001	0.0	3185.9964	117.500656	0.0	2.54097	0.0	0.0
ZJH_N7_1_3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ZJH_N7_1_4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ZJH_N7_2_3	0.0	0.0	0.0	12.7141	215.9038	498.17	226.19601	35.9223	0.0	0.0	0.0
ZJH_N7_2_4	0.0	0.0	0.0	15.9648	223.9491	539.3499999999999	256.2779	37.6364	0.0	0.0	0.0
ZJH_N8_1_2	0.0	0.0	12.795960000000001	860.695858	0.0	1459.6936	136.86079999999998	0.0	0.0	0.0	0.0
ZJH_N8_1_3	0.0	0.0	62.00391	18.04831	2.8329	34.04056	2.284597	0.0	1.599218	0.0	0.0
ZJH_N8_1_4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
