effect_label	gene_family	coef	pvalue	fdr
High infant abx (vs None)	rpoC	-0.5939992132342039	1.683082184660749e-10	3.9889047776459756e-08
High infant abx (vs None)	qacA	-0.5688965224408907	6.321910993063709e-09	5.05118908655709e-07
High infant abx (vs None)	qacB	-0.5686280138950085	6.393910236148215e-09	5.05118908655709e-07
High infant abx (vs None)	fusA	-0.4690951366581155	2.532157131138993e-08	1.5003031001998535e-06
High infant abx (vs None)	gdpP	-0.4227122292892417	2.7163762171980263e-07	1.2875623269518646e-05
High infant abx (vs None)	ileS	-0.40787691229351136	5.117032520760874e-07	1.8851610362106126e-05
High infant abx (vs None)	dfrC	-0.2854383593257161	5.567986182900543e-07	1.8851610362106126e-05
High infant abx (vs None)	fusE	-0.2535261365564933	1.5478246662253414e-06	4.41161817597112e-05
High infant abx (vs None)	glpT	-0.3206145949236349	1.6752980415080204e-06	4.41161817597112e-05
High infant abx (vs None)	rplC	-0.25309687522618424	5.358337325838144e-06	0.00012699259462236402
High infant abx (vs None)	yybT	-0.24456868702010723	9.599851086653207e-06	0.0002068331552306191
High infant abx (vs None)	mecR1	-0.2987976714261455	1.3856087017521038e-05	0.0002698310438331243
High infant abx (vs None)	lmrS	-0.24372376766633153	1.480085894443298e-05	0.0002698310438331243
High infant abx (vs None)	gshF	-0.23921334363308788	1.666783701718496e-05	0.00028216266950520255
High infant abx (vs None)	tet(M)	-0.2568561471489853	1.791892915463923e-05	0.0002831190806432998
High infant abx (vs None)	mph(C)	-0.1747913796888007	2.5121520868053626e-05	0.0003639788423407094
High infant abx (vs None)	msr(A)	-0.19709101718200073	2.6108187003342022e-05	0.0003639788423407094
High infant abx (vs None)	fosB-Sepi	-0.15481001886883247	3.34044951399074e-05	0.0004398258526754474
High infant abx (vs None)	blaR1-2	-0.3253915945056638	5.1989513602087536e-05	0.0006134725187879358
High infant abx (vs None)	blaZ	-0.23840309575934318	5.29524107184452e-05	0.0006134725187879358
High infant abx (vs None)	blaR1	-0.3231237535665585	5.435832444956393e-05	0.0006134725187879358
High infant abx (vs None)	lsa(A)	-0.17613139235150446	5.935284734684503e-05	0.000639392037327376
High infant abx (vs None)	aur	-0.19304878117026222	7.281041999044249e-05	0.000741233679613192
High infant abx (vs None)	bleO	-0.22226953640927252	7.506163844184223e-05	0.000741233679613192
High infant abx (vs None)	ant(4')-Ia	-0.25529092560256983	0.00012030022063154077	0.0011404460915870065
High infant abx (vs None)	mecA-ceftar	-0.29936304846935996	0.00014579511253028752	0.0012182572870936283
High infant abx (vs None)	mecA	-0.2989988234557417	0.0001474441282381822	0.0012182572870936283
High infant abx (vs None)	tet(O/W)	-0.21998686637189663	0.00015146745838637274	0.0012182572870936283
High infant abx (vs None)	tet(W)	-0.23085811835222791	0.00015258861064882932	0.0012182572870936283
High infant abx (vs None)	tet(O/W/O)	-0.2136025227161329	0.00015420978317640867	0.0012182572870936283
Maternal abx (vs None)	acrF	0.33108797474697554	0.0017236912237335513	0.36336902064015597
Maternal abx (vs None)	arsB_pKW301	0.23851652627124717	0.003909799186091253	0.36336902064015597
Maternal abx (vs None)	arsA	0.17930728461498566	0.0073074686260257956	0.36336902064015597
Maternal abx (vs None)	arsR_R46	0.11159939748574825	0.010499046379245053	0.36336902064015597
Maternal abx (vs None)	arsD	0.09211915380372517	0.010596058522438338	0.36336902064015597
Maternal abx (vs None)	arsB_R773	0.21930034638579368	0.01071850915772118	0.36336902064015597
Maternal abx (vs None)	arsR_pKW301	0.11052873887544194	0.012878096892742233	0.36336902064015597
Maternal abx (vs None)	arsC_gluta	0.14454268496573824	0.013026274538843774	0.36336902064015597
Maternal abx (vs None)	liaR	-0.08805014230949347	0.014463788618793287	0.36336902064015597
Maternal abx (vs None)	liaF	-0.0889481315005254	0.01572166235850137	0.36336902064015597
Maternal abx (vs None)	arsB_pYV	0.19912739085368641	0.01686522880608319	0.36336902064015597
Maternal abx (vs None)	ompC	0.1704909423358656	0.019420028749573326	0.3775111507977523
Maternal abx (vs None)	aac(3)-XI	0.08298575457169458	0.02542950225134605	0.3775111507977523
Maternal abx (vs None)	clpL	-0.07428514869505222	0.025486072872561844	0.3775111507977523
Maternal abx (vs None)	eat(A)	-0.061125809900064214	0.0259435440865201	0.3775111507977523
Maternal abx (vs None)	msr(C)	-0.06009794588001193	0.02662288629437541	0.3775111507977523
Maternal abx (vs None)	LHR_hsp20A	0.09431519233706484	0.030706758679253616	0.3775111507977523
Maternal abx (vs None)	pbp5	-0.05983588858264562	0.03251751550345526	0.3775111507977523
Maternal abx (vs None)	tet(W)	0.13001286922049615	0.03363707687483215	0.3775111507977523
Maternal abx (vs None)	tet(O/W)	0.12309969842339381	0.0345751225628117	0.3775111507977523
Maternal abx (vs None)	silR	0.14265663666970768	0.03469874046683434	0.3775111507977523
Maternal abx (vs None)	tet(W/N/W)	0.11937343739114493	0.03590504766498819	0.3775111507977523
Maternal abx (vs None)	liaS	-0.09490026133593903	0.03779998913040213	0.3775111507977523
Maternal abx (vs None)	merD	0.07942712084517314	0.04085923882466651	0.3775111507977523
Maternal abx (vs None)	tet(O/W/O)	0.11454067168894078	0.043026228765885084	0.3775111507977523
