Variable,Coefficient,Std_Error,P-value,Significant,Type,Var1,Var2
C(PostNatalAbxCohort)[T.No.Infant.Abx]:C(UVC)[T.UVC],-0.009822234576487864,0.07573273331338651,0.8968699155887191,False,Interaction,PostNatalAbxCohort,UVC
C(Location)[T.Hangzhou]:C(UVC)[T.UVC],0.015616280790674258,0.13302957618715772,0.9066083006720209,False,Interaction,Location,UVC
Intercept,-0.012993482655112359,0.12491609777227573,0.9172056890288556,False,Other,,
C(GestationCohort)[T.28-32 Weeks]:C(PostNatalAbxCohort)[T.Low.Infant.Abx],0.0062487306577964485,0.0727823869360023,0.9316232021134105,False,Interaction,GestationCohort,PostNatalAbxCohort
C(GestationCohort)[T.28-32 Weeks]:C(PICC)[T.PICC_UE],0.012553344336177653,0.1559907461333903,0.9358984218065882,False,Interaction,GestationCohort,PICC
C(GestationCohort)[T.33-36 Weeks]:C(PICC)[T.peripheral_UE],-0.012945386765805686,0.16090781549189698,0.9359164927317355,False,Interaction,GestationCohort,PICC
C(SampleCollectionWeek)[T.Week.3],-0.003962494476355029,0.06123438859624475,0.9484359110696257,False,Main,,
C(SampleType)[T.Groin]:C(PostNatalAbxCohort)[T.Low.Infant.Abx],0.0027459924731572955,0.04512886328602026,0.9515097769647687,False,Interaction,SampleType,PostNatalAbxCohort
C(SampleCollectionWeek)[T.Week.3]:C(PostNatalAbxCohort)[T.Low.Infant.Abx],0.0020156576819258237,0.03960844301421727,0.9594380391587578,False,Interaction,SampleCollectionWeek,PostNatalAbxCohort
C(GestationCohort)[T.33-36 Weeks]:C(AnyMilk)[T.No.Milk],-0.0016635892731245317,0.04470290969359503,0.9703320423617054,False,Interaction,GestationCohort,AnyMilk
C(SampleType)[T.Groin]:C(MaternalAntibiotics)[T.None.Mat.Abx],0.0008400608707387252,0.03373644867773935,0.9801461739722728,False,Interaction,SampleType,MaternalAntibiotics
C(MaternalAntibiotics)[T.None.Mat.Abx]:C(AnyMilk)[T.No.Milk],-0.0023362045950657707,0.11454628576102575,0.9837378677601254,False,Interaction,MaternalAntibiotics,AnyMilk
C(SampleCollectionWeek)[T.Week.3]:C(PICC)[T.axillary],-0.0009394498134129743,0.0663360496865691,0.988707574516847,False,Interaction,SampleCollectionWeek,PICC
C(AnyMilk)[T.No.Milk]:C(PICC)[T.PICC_Neck],0.0,0.0,,False,Interaction,AnyMilk,PICC
C(PICC)[T.PICC_Neck]:C(UVC)[T.UVC],0.0,0.0,,False,Interaction,PICC,UVC
C(PICC)[T.axillary]:C(UVC)[T.UVC],0.0,0.0,,False,Interaction,PICC,UVC
C(PICC)[T.peripheral_UE]:C(UVC)[T.UVC],0.0,0.0,,False,Interaction,PICC,UVC
C(PICC)[T.peripheral_UE]:C(Delivery)[T.Vaginal],0.0,0.0,,False,Interaction,PICC,Delivery
